Team A,Team B,Winner,Victory,Victory Turn,Map played,Map ban1,Map ban2,Map ban3,Map ban4,Map ban5,Map ban6,Ban1,Ban2,Ban3,Ban4,Ban5,Ban6,Ban7,Ban8,Ban9,Ban10,Ban11,Ban12,Ban13,Ban14,PickA1,PickB1,PickA2,PickB2,PickA3,PickB3,PickA4,PickB4,PlayerA1,PlayerB1,PlayerA2,PlayerB2,PlayerA3,PlayerB3,PlayerA4,PlayerB4,Date,Division
999636304654520330,1271427540841398312,999636304654520330,CC,72,pangaea standard,seven seas,rich highlands,inland sea,primordial,lakes,tilted axis,lautaro,alexander,simon bolivar,genghis khan,kupe,tomyris,trajan,catherine de medici (black queen),philip ii,chandragupta,montezuma,suleiman (kanuni),shaka,nader shah,(sub) julius caesar,ambiorix,menelik ii,basil ii,kublai khan (mongolia),cyrus,hojo tokimune,dido,639072903685603338,409068426317922305,279287078267650048,241866900991115264,667481497229459488,332989880949014529,335129808080207892,399531664667312168,17/01/25,1
1051866126369443913,652143977260122125,652143977260122125,CC,64,tilted axis,rich highlands,primordial,lakes,pangaea standard,seven seas,inland sea,gitarja,harald hardrada,tomyris,julius caesar,gilgamesh,philip ii,tokugawa,kupe,catherine de medici (black queen),genghis khan,victoria,wu zetian,victoria age of steam,pedro ii,hojo tokimune,elizabeth i,lautaro,dido,trajan,basil ii,eleanor of aquitaine (england),suleiman (kanuni),263300012530728960,183282110902173698,216834792040300544,225335340771180555,707929315937091594,222367163888041984,652800467860193281,272887794165350401,21/01/25,1
708475004744106024,652143977260122125,652143977260122125,CC,77,seven seas,lakes,primordial,pangaea standard,pangaea classic,rich highlands,tilted axis,basil ii,tokugawa,trajan,philip ii,tomyris,kupe,wu zetian,julius caesar,chandragupta,genghis khan,hojo tokimune,lautaro,dido,gilgamesh,catherine de medici (black queen),menelik ii,eleanor of aquitaine (england),harald hardrada,montezuma,suleiman (kanuni),ba trieu,wilhelmina,170175103118737409,222367163888041984,137645419952865280,181879507756515328,330123383264116747,272887794165350401,507199986317000704,201821608506032129,22/01/25,1
708475004744106024,708475864110596107,708475004744106024,Cultural,104,lakes,inland sea,primordial,seven seas,pangaea standard,tilted axis,rich highlands,trajan,genghis khan,kupe,catherine de medici (black queen),gilgamesh,julius caesar,shaka,lautaro,ambiorix,tomyris,philip ii,chandragupta,kublai khan (mongolia),montezuma,alexander,tokugawa,menelik ii,wu zetian,hammurabi,cyrus,cleopatra (egyptian),peter,151681510066356224,639072903685603338,170175103118737409,141511420146614272,194049495720394752,1018630081477877801,202854878899470336,258673242967900160,23/01/25,1
1271427540841398312,1051869530848243792,1051869530848243792,CC,62,tilted axis,rich highlands,pangaea standard,primordial,lakes,pangaea classic,seven seas,joao iii,philip ii,catherine de medici (black queen),gitarja,pedro ii,kupe,tomyris,harald hardrada,harald varangian,lautaro,lady six sky,tokugawa,wu zetian,genghis khan,hojo tokimune,dido,julius caesar,trajan,montezuma,eleanor of aquitaine (england),elizabeth i,mvemba a nzinga,399531664667312168,130637505773961216,213989603412148226,277107529236873216,409068426317922305,332124733351002123,261883154095144960,836025628158853212,24/01/25,1
795731488757776404,1058462045470720000,795731488757776404,CC,66,primordial,seven seas,inland sea,pangaea standard,lakes,tilted axis,rich highlands,elizabeth i,tomyris,julius caesar,gitarja,hojo tokimune,harald hardrada,dido,philip ii,joao iii,kupe,catherine de medici (black queen),lautaro,nader shah,genghis khan,tokugawa,victoria,eleanor of aquitaine (england),wilhelmina,trajan,hammurabi,pedro ii,kublai khan (mongolia),269629070445248512,229691587251142656,375952313249955840,238051165571514369,353548501247983627,746782025016410193,551382710304899072,276113067732107265,25/01/25,1
1051869530848243792,999636304654520330,1051869530848243792,CC,78,tilted axis,pangaea standard,rich highlands,inland sea,primordial,lakes,seven seas,tomyris,harald hardrada,julius caesar,philip ii,gitarja,kupe,hojo tokimune,eleanor of aquitaine (england),joao iii,elizabeth i,harald varangian,lautaro,pedro ii,wu zetian,catherine de medici (black queen),dido,victoria,tokugawa,lady six sky,trajan,victoria age of steam,qin (mandate of heaven),249896184498487296,335129808080207892,332124733351002123,688507156735328383,130637505773961216,219802072973836288,223420143567503360,667481497229459488,25/01/25,1
999636304654520330,1051866126369443913,999636304654520330,CC,93,seven seas,primordial,rich highlands,inland sea,lakes,tilted axis,pangaea standard,julius caesar,kupe,lautaro,philip ii,alexander,tokugawa,catherine de medici (black queen),genghis khan,harald hardrada,hojo tokimune,basil ii,matthias corvinus,montezuma,trajan,tomyris,gilgamesh,harald varangian,dido,nader shah,wu zetian,elizabeth i,ambiorix,667481497229459488,652800467860193281,688507156735328383,364319066057605121,313016976488398849,368436476708388864,232976189851959297,263300012530728960,26/01/25,1
708475864110596107,795731488757776404,795731488757776404,CC,95,pangea standard,rich highlands,primordial,lakes,tilted axis,pangaea classic,seven seas,genghis khan,simon bolivar,shaka,julius caesar,philip ii,lautaro,tomyris,catherine de medici (black queen),alexander,wu zetian,poundmaker,nader shah,kublai khan (mongolia),montezuma,kupe,jaravarman vii,cyrus,trajan,suleiman (kanuni),hammurabi,matthias corvinus,basil ii,639072903685603338,269550035774078978,1018630081477877801,438838642631245845,258673242967900160,551382710304899072,141511420146614272,291529905676615680,27/01/25,1
652143977260122125,751902039964909649,751902039964909649,CC,102,lakes,primordial,tilted axis,rich highlands,inland sea,pangaea standard,seven seas,tokugawa,genghis khan,tomyris,philip ii,alexander,menelik ii,catherine de medici (black queen),shaka,lautaro,kupe,suleiman (kanuni),trajan,montezuma,harald varangian,lady six sky,saladin (vizier),simon bolivar,hammurabi,jadwiga,ludwig ii,mansa musa,kublai khan (mongolia),201821608506032129,221995666333892609,272887794165350401,436574185716973579,222367163888041984,143088067337650176,181879507756515328,111335315238641664,27/01/25,1
